meteorite_name,id,recclass,mass (g),fall,year,reclat,reclong,geometry,continent,country
Aachen,1,L5,21,Fell,1880,50.775,6.08333,POINT (6.08333 50.775),Europe,Belgium
Aarhus,2,H6,720,Fell,1951,56.18333,10.23333,POINT (10.23333 56.18333),Europe,Denmark
Abee,6,EH4,107000,Fell,1952,54.21667,-113,POINT (-113 54.21667),North America,Canada
Acapulco,10,Acapulcoite,1914,Fell,1976,16.88333,-99.9,POINT (-99.9 16.88333),North America,Mexico
Achiras,370,L6,780,Fell,1902,-33.16667,-64.95,POINT (-64.95 -33.16667),South America,Argentina
Adhi Kot,379,EH4,4239,Fell,1919,32.1,71.8,POINT (71.8 32.1),Asia,Pakistan
Adzhi-Bogdo (stone),390,LL3-6,910,Fell,1949,44.83333,95.16667,POINT (95.16667 44.83333),Asia,Mongolia
Agen,392,H5,30000,Fell,1814,44.21667,0.61667,POINT (0.61667 44.21667),Europe,France
Aguada,398,L6,1620,Fell,1930,-31.6,-65.23333,POINT (-65.23333 -31.6),South America,Argentina
Aguila Blanca,417,L,1440,Fell,1920,-30.86667,-64.55,POINT (-64.55 -30.86667),South America,Argentina
Aioun el Atrouss,423,Diogenite-pm,1000,Fell,1974,16.39806,-9.57028,POINT (-9.57028 16.39806),Africa,Mauritania
Aïr,424,L6,24000,Fell,1925,19.08333,8.38333,POINT (8.38333 19.08333),Africa,Niger
Aire-sur-la-Lys,425,Unknown,,Fell,1769,50.66667,2.33333,POINT (2.33333 50.66667),Europe,France
Akaba,426,L6,779,Fell,1949,29.51667,35.05,POINT (35.05 29.51667),Asia,Jordan
Akbarpur,427,H4,1800,Fell,1838,29.71667,77.95,POINT (77.95 29.71667),Asia,India
Akwanga,432,H,3000,Fell,1959,8.91667,8.43333,POINT (8.43333 8.91667),Africa,Nigeria
Akyumak,433,"Iron, IVA",50000,Fell,1981,39.91667,42.81667,POINT (42.81667 39.91667),Asia,Turkey
Al Rais,446,CR2-an,160,Fell,1957,24.41667,39.51667,POINT (39.51667 24.41667),Asia,Saudi Arabia
Al Zarnkh,447,LL5,700,Fell,2001,13.66033,28.96,POINT (28.96 13.66033),Africa,Sudan
Alais,448,CI1,6000,Fell,1806,44.11667,4.08333,POINT (4.08333 44.11667),Europe,France
Albareto,453,L/LL4,2000,Fell,1766,44.65,11.01667,POINT (11.01667 44.65),Europe,Italy
Alberta,454,L,625,Fell,1949,2,22.66667,POINT (22.66667 2),Africa,Dem. Rep. Congo
Alby sur Chéran,458,Eucrite-mmict,252,Fell,2002,45.82133,6.01533,POINT (6.01533 45.82133),Europe,France
Aldsworth,461,LL5,700,Fell,1835,51.78333,-1.78333,POINT (-1.78333 51.78333),Europe,United Kingdom
Aleppo,462,L6,3200,Fell,1873,36.23333,37.13333,POINT (37.13333 36.23333),Asia,Syria
Alessandria,463,H5,908,Fell,1860,44.88333,8.75,POINT (8.75 44.88333),Europe,Italy
Alexandrovsky,465,H4,9251,Fell,1900,50.95,31.81667,POINT (31.81667 50.95),Europe,Ukraine
Alfianello,466,L6,228000,Fell,1883,45.26667,10.15,POINT (10.15 45.26667),Europe,Italy
Allegan,2276,H5,32000,Fell,1899,42.53333,-85.88333,POINT (-85.88333 42.53333),North America,United States of America
Allende,2278,CV3,2000000,Fell,1969,26.96667,-105.31667,POINT (-105.31667 26.96667),North America,Mexico
Almahata Sitta,48915,Ureilite-an,3950,Fell,2008,20.74575,32.41275,POINT (32.41275 20.74575),Africa,Sudan
Alta'ameem,2284,LL5,6000,Fell,1977,35.27333,44.21556,POINT (44.21556 35.27333),Asia,Iraq
Ambapur Nagla,2290,H5,6400,Fell,1895,27.66667,78.25,POINT (78.25 27.66667),Asia,India
Andhara,2294,Stone-uncl,2700,Fell,1880,26.58333,85.56667,POINT (85.56667 26.58333),Asia,India
Andover,2295,L6,3200,Fell,1898,44.61667,-70.75,POINT (-70.75 44.61667),North America,United States of America
Andreevka,2296,L3,600,Fell,1969,48.7,37.5,POINT (37.5 48.7),Europe,Ukraine
Andura,2298,H6,17900,Fell,1939,20.88333,76.86667,POINT (76.86667 20.88333),Asia,India
Northwest Africa 5815,50693,L5,256.8,Found,,0,0,POINT (0 0),,
Angers,2301,L6,,Fell,1822,47.46667,-0.55,POINT (-0.55 47.46667),Europe,France
Angra dos Reis (stone),2302,Angrite,1500,Fell,1869,-22.96667,-44.31667,POINT (-44.31667 -22.96667),South America,Brazil
Ankober,2304,H4,6500,Fell,1942,9.53333,39.71667,POINT (39.71667 9.53333),Africa,Ethiopia
Anlong,2305,H5,2500,Fell,1971,25.15,105.18333,POINT (105.18333 25.15),Asia,China
Aomori,2313,L6,320,Fell,1984,40.81056,140.78556,POINT (140.78556 40.81056),Asia,Japan
Appley Bridge,2318,LL6,15000,Fell,1914,53.58333,-2.71667,POINT (-2.71667 53.58333),Europe,United Kingdom
Apt,2320,L6,3200,Fell,1803,43.86667,5.38333,POINT (5.38333 43.86667),Europe,France
Arbol Solo,2325,H5,810,Fell,1954,-33,-66,POINT (-66 -33),South America,Argentina
Archie,2329,H6,5070,Fell,1932,38.5,-94.3,POINT (-94.3 38.5),North America,United States of America
Arroyo Aguiar,2340,H5,7450,Fell,1950,-31.41667,-60.66667,POINT (-60.66667 -31.41667),South America,Argentina
Asco,2345,H6,41,Fell,1805,42.45,9.03333,POINT (9.03333 42.45),Europe,France
Ash Creek,48954,L6,9500,Fell,2009,31.805,-97.01,POINT (-97.01 31.805),North America,United States of America
Ashdon,2346,L6,1300,Fell,1923,52.05,0.3,POINT (0.3 52.05),Europe,United Kingdom
Assisi,2353,H5,2000,Fell,1886,43.03333,12.55,POINT (12.55 43.03333),Europe,Italy
Atarra,4883,L4,1280,Fell,1920,25.25417,80.625,POINT (80.625 25.25417),Asia,India
Atemajac,4884,L6,94.2,Fell,1896,20.06667,-103.66667,POINT (-103.66667 20.06667),North America,Mexico
Athens,4885,LL6,265,Fell,1933,34.75,-87,POINT (-87 34.75),North America,United States of America
Atoka,4888,L6,1384.2,Fell,1945,34.31667,-96.15,POINT (-96.15 34.31667),North America,United States of America
Aubres,4893,Aubrite,800,Fell,1836,44.38333,5.16667,POINT (5.16667 44.38333),Europe,France
Aumale,4899,L6,50000,Fell,1865,36.16667,3.66667,POINT (3.66667 36.16667),Africa,Algeria
Aumieres,4900,L6,2000,Fell,1842,44.33333,3.23333,POINT (3.23333 44.33333),Europe,France
Ausson,4903,L5,50000,Fell,1858,43.08333,0.58333,POINT (0.58333 43.08333),Europe,France
Avanhandava,4905,H4,9330,Fell,1952,-21.46028,-49.95083,POINT (-49.95083 -21.46028),South America,Brazil
Avce,4906,"Iron, IIAB",1230,Fell,1908,46,13.5,POINT (13.5 46),Europe,Italy
Avilez,4907,H,146,Fell,1855,25,-103.5,POINT (-103.5 25),North America,Mexico
Awere,4910,L4,134,Fell,1968,2.71667,32.83333,POINT (32.83333 2.71667),Africa,Uganda
Aztec,4913,L6,2830,Fell,1938,36.8,-108,POINT (-108 36.8),North America,United States of America
Bachmut,4917,L6,18000,Fell,1814,48.6,38,POINT (38 48.6),Europe,Ukraine
Bahjoi,4922,"Iron, IAB-sLL",10322,Fell,1934,28.48333,78.5,POINT (78.5 28.48333),Asia,India
Bald Mountain,4925,L4,3700,Fell,1929,35.96667,-82.48333,POINT (-82.48333 35.96667),North America,United States of America
Baldwyn,4926,L6,345,Fell,1922,34.5,-88.66667,POINT (-88.66667 34.5),North America,United States of America
Bali,4928,CV3,1000,Fell,1907,5.38333,16.38333,POINT (16.38333 5.38333),Africa,Central African Rep.
Ban Rong Du,4934,"Iron, ungrouped",16700,Fell,1993,16.66667,101.18333,POINT (101.18333 16.66667),Asia,Thailand
Bandong,4935,LL6,11500,Fell,1871,-6.91667,107.6,POINT (107.6 -6.91667),Asia,Indonesia
Bansur,4936,L6,15000,Fell,1892,27.7,76.33333,POINT (76.33333 27.7),Asia,India
Banswal,4937,L5,14,Fell,1913,30.4,78.2,POINT (78.2 30.4),Asia,India
Banten,4938,CM2,629,Fell,1933,-6.33333,106,POINT (106 -6.33333),Asia,Indonesia
Barbotan,4942,H5,6400,Fell,1790,43.95,-0.05,POINT (-0.05 43.95),Europe,France
Barcelona (stone),4944,OC,,Fell,1704,41.36667,2.16667,POINT (2.16667 41.36667),Europe,Spain
Barea,4946,Mesosiderite-A1,3200,Fell,1842,42.38333,-2.5,POINT (-2.5 42.38333),Europe,Spain
Barnaul,4947,H5,23.2,Fell,1904,52.73333,84.08333,POINT (84.08333 52.73333),Europe,Russia
Barntrup,4948,LL4,17,Fell,1886,52,9.1,POINT (9.1 52),Europe,Germany
Baroti,4949,L6,4500,Fell,1910,31.61667,76.8,POINT (76.8 31.61667),Asia,India
Barwell,4954,L5,44000,Fell,1965,52.56528,-1.33972,POINT (-1.33972 52.56528),Europe,United Kingdom
Bassikounou,44876,H5,29560,Fell,2006,15.78333,-5.9,POINT (-5.9 15.78333),Africa,Mauritania
Baszkówka,4957,L5,15500,Fell,1994,52.03333,20.93583,POINT (20.93583 52.03333),Europe,Poland
Bath,4974,H4,21000,Fell,1892,45.41667,-98.31667,POINT (-98.31667 45.41667),North America,United States of America
Bath Furnace,4975,L6,86000,Fell,1902,38.25,-83.75,POINT (-83.75 38.25),North America,United States of America
Battle Mountain,56133,L6,2900,Fell,2012,40.66813,-117.18913,POINT (-117.18913 40.66813),North America,United States of America
Bawku,4976,LL5,1557,Fell,1989,11.08333,-0.18333,POINT (-0.18333 11.08333),Africa,Burkina Faso
Baxter,4977,L6,611,Fell,1916,36.75,-93.5,POINT (-93.5 36.75),North America,United States of America
Beardsley,4984,H5,16000,Fell,1929,39.8,-101.2,POINT (-101.2 39.8),North America,United States of America
Beaver Creek,4986,H5,14000,Fell,1893,51.16667,-117.33333,POINT (-117.33333 51.16667),North America,Canada
Beddgelert,4993,H5,794,Fell,1949,53.01667,-4.1,POINT (-4.1 53.01667),Europe,United Kingdom
Bells,5005,C2-ung,375,Fell,1961,33.6,-96.46667,POINT (-96.46667 33.6),North America,United States of America
Belville,5009,OC,,Fell,1937,-32.33333,-64.86667,POINT (-64.86667 -32.33333),South America,Argentina
Benares (a),5011,LL4,3700,Fell,1798,25.36667,82.91667,POINT (82.91667 25.36667),Asia,India
Benguerir,30443,LL6,25000,Fell,2004,32.25,-8.15,POINT (-8.15 32.25),Africa,Morocco
Beni M'hira,5018,L6,19000,Fell,2001,32.86667,10.8,POINT (10.8 32.86667),Africa,Tunisia
Benld,5021,H6,1770.5,Fell,1938,39.08333,-89.15,POINT (-89.15 39.08333),North America,United States of America
Benoni,5023,H6,3880,Fell,1943,-26.16667,28.41667,POINT (28.41667 -26.16667),Africa,South Africa
Bensour,5024,LL6,45000,Fell,2002,30,-7,POINT (-7 30),Africa,Morocco
Benton,5026,LL6,2840,Fell,1949,45.95,-67.55,POINT (-67.55 45.95),North America,Canada
Berduc,48975,L6,270,Fell,2008,-31.91,-58.32833,POINT (-58.32833 -31.91),South America,Argentina
Béréba,5028,Eucrite-mmict,18000,Fell,1924,11.65,-3.65,POINT (-3.65 11.65),Africa,Burkina Faso
Berlanguillas,5029,L6,1440,Fell,1811,41.68333,-3.8,POINT (-3.8 41.68333),Europe,Spain
Berthoud,47355,Eucrite-mmict,960,Fell,2004,40.30583,-105.02325,POINT (-105.02325 40.30583),North America,United States of America
Bethlehem,5032,H,13.9,Fell,1859,42.53333,-73.83333,POINT (-73.83333 42.53333),North America,United States of America
Beuste,5034,L5,2000,Fell,1859,43.21667,-0.23333,POINT (-0.23333 43.21667),Europe,France
Beyrout,5035,LL3.8,1100,Fell,1921,33.88333,35.5,POINT (35.5 33.88333),Asia,Lebanon
Bhagur,5037,L6,18,Fell,1877,20.88333,74.83333,POINT (74.83333 20.88333),Asia,India
Bhawad,36591,LL6,678,Fell,2002,26.50833,73.11528,POINT (73.11528 26.50833),Asia,India
Bherai,5039,L6,100,Fell,1893,20.83333,71.46667,POINT (71.46667 20.83333),,
Bhola,5040,LL3-6,1047,Fell,1940,22.68333,90.65,POINT (90.65 22.68333),,
Bholghati,5041,Howardite,2500,Fell,1905,22.08333,86.9,POINT (86.9 22.08333),Asia,India
Bialystok,5042,Eucrite-pmict,4000,Fell,1827,53.1,23.2,POINT (23.2 53.1),Europe,Poland
Bielokrynitschie,5043,H4,1900,Fell,1887,50.13333,27.16667,POINT (27.16667 50.13333),Europe,Ukraine
Bilanga,5045,Diogenite,25000,Fell,1999,12.45,-0.08333,POINT (-0.08333 12.45),Africa,Burkina Faso
Binningup,5051,H5,488.1,Fell,1984,-33.15639,115.67639,POINT (115.67639 -33.15639),,
Birni N'konni,5056,H4,560,Fell,1923,13.76667,5.3,POINT (5.3 13.76667),Africa,Nigeria
Bishopville,5059,Aubrite,6000,Fell,1843,34.16667,-80.28333,POINT (-80.28333 34.16667),North America,United States of America
Bishunpur,5060,LL3.15,1039,Fell,1895,25.38333,82.6,POINT (82.6 25.38333),Asia,India
Bjelaja Zerkov,5063,H6,1850,Fell,1796,49.78333,30.16667,POINT (30.16667 49.78333),Europe,Ukraine
Bjurböle,5064,L/LL4,330000,Fell,1899,60.4,25.8,POINT (25.8 60.4),Europe,Finland
Black Moshannan Park,5065,L5,705,Fell,1941,40.91667,-78.08333,POINT (-78.08333 40.91667),North America,United States of America
Blackwell,5068,L5,2381,Fell,1906,36.83333,-97.33333,POINT (-97.33333 36.83333),North America,United States of America
Blanket,5071,L6,5100,Fell,1909,31.83333,-98.83333,POINT (-98.83333 31.83333),North America,United States of America
Blansko,5072,H6,470,Fell,1833,49.36667,16.63333,POINT (16.63333 49.36667),Europe,Czechia
Bloomington,5076,LL6,67.8,Fell,1938,40.48,-89.00417,POINT (-89.00417 40.48),North America,United States of America
Bo Xian,5090,LL3.9,7500,Fell,1977,33.83333,115.83333,POINT (115.83333 33.83333),Asia,China
Bocas,5093,L6,56,Fell,1804,23,-102,POINT (-102 23),North America,Mexico
